"Story ID","Area","Persona","Feature","User Story","Expected Behavior","Code Evidence","Automated Evidence","Coverage","Execution Status","Defect IDs","Observed Errors","Fix Evidence","Retest Status","Last Verified"
"CHILD-010","Child detail","Educator","Start new assessment","As an Educator, I want to start an observation from an assigned child when processing is permitted.","The action opens intake for that child; when permission is off it opens the blocked intake state instead of accepting a video.","app/children/[childId]/page.tsx; components/assessment-intake.tsx","tests/e2e/accessibility.spec.ts - child navigation and intake; tests/e2e/screen-catalog.spec.ts - screen-20 permission-blocked","EXISTING","PASS","","","","PASS","2026-07-15"
"ASSESS-001","Assessments","Educator","Assessment index","As an Educator, I want a single list of my authorized assessments so I can continue or reopen work.","The index shows child, observation date, status, progress, last update, and the authoritative action for assignment-scoped assessments.","app/assessments/page.tsx; app/api/assessments/route.ts; lib/help-review/assessment-service.ts","tests/e2e/screen-catalog.spec.ts - screen-16 assessments-list","EXISTING","PASS","","","","PASS","2026-07-15"
"ASSESS-002","Assessments","Educator","Status filters","As an Educator, I want to switch between active, finalized, and all assessments.","The selected filter is URL-backed, aria-pressed, and the server returns only the requested authorized statuses.","app/assessments/page.tsx; app/api/assessments/route.ts","tests/e2e/user-story-behaviors.spec.ts - assessment filters and search round-trip through URL; workflow scope tests","EXISTING","PASS","","","","PASS","2026-07-15"
"ASSESS-003","Assessments","Educator","Assessment search","As an Educator, I want to search assessments by child identifier.","Submitting search writes a bounded query to the URL, scopes the server query to assignments, and clearing restores the filter result.","app/assessments/page.tsx; app/api/assessments/route.ts","tests/e2e/user-story-behaviors.spec.ts - assessment filters and search round-trip through URL; workflow bounded query test","EXISTING","PASS","","","","PASS","2026-07-15"
"ASSESS-004","Assessments","Educator","Assessment loading error and empty states","As an Educator, I want distinct feedback for loading, no matches, and request failure.","Loading disables rows; no matches offers assigned children; failure offers retry without showing stale data.","app/assessments/page.tsx; components/page-state.tsx","tests/e2e/user-story-behaviors.spec.ts - assessment failures and empty results remain distinct and recoverable","EXISTING","PASS","","","","PASS","2026-07-15"
"ASSESS-005","Assessment creation","Educator","Idempotent draft creation","As an Educator, I want one draft per create request so retries cannot create duplicate assessments.","Creation requires assignment and processing permission, snapshots child context and contract versions, and replays the same request ID while rejecting changed payload reuse.","app/api/assessments/route.ts; lib/help-review/assessment-service.ts","tests/e2e/workflow-contracts.spec.ts - assessment creation is authorized versioned and idempotent","EXISTING","PASS","","","","PASS","2026-07-15"
"ASSESS-006","Assessment creation","Educator","Observation date validation","As an Educator, I want the observation date attached to the assessment before processing.","A valid date is required to create the draft and becomes immutable in intake after the assessment exists.","components/assessment-intake.tsx; app/api/assessments/route.ts","tests/e2e/user-story-behaviors.spec.ts - invalid observation date is rejected and persisted draft locks the date","EXISTING","PASS","","","","PASS","2026-07-15"
"ASSESS-007","Assessment navigation","Educator","Stale route correction","As an Educator following an old link, I want the system to redirect me to the assessment's current state.","An intake URL for a processing, review, summary, or finalized assessment resolves to its authoritative route rather than rendering stale controls.","components/assessment-intake.tsx; lib/help-review/presentation.ts","tests/e2e/workflow-contracts.spec.ts - child history search filters and stale next actions stay assignment-scoped","EXISTING","PASS","","","","PASS","2026-07-15"
"ASSESS-008","Assessment navigation","Educator","Finalized record reopening","As an Educator, I want finalized assessments to reopen as immutable records.","Index and child history route finalized assessments to final view; review mutations and ordinary editing remain unavailable.","app/assessments/page.tsx; components/assessment-summary.tsx; lib/help-review/review-service.ts","tests/e2e/workflow-contracts.spec.ts - review decisions survive reload reject stale edits and leave final records immutable","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-001","Video intake","Educator","Intake context","As an Educator, I want to confirm the child and observation context before uploading a video.","Intake shows the assigned child, current age/context, observation date, one-video policy, and approved limits before submission.","components/assessment-intake.tsx","tests/e2e/screen-catalog.spec.ts - screen-17 upload-ready; tests/e2e/accessibility.spec.ts - child navigation and intake","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-002","Video intake","Educator","Permission-blocked intake","As an Educator, I must not upload when processing permission is unavailable.","The intake shows a non-editable blocked state with administrator contact and return navigation; upload and processing APIs reject the command.","components/assessment-intake.tsx; lib/help-review/video-asset-service.ts","tests/e2e/screen-catalog.spec.ts - screen-20 permission-blocked; workflow assessment creation permission test","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-003","Video intake","Educator","Choose video","As an Educator, I want to choose one MP4, WebM, or MOV observation video.","The file picker limits selectable media, displays filename and size, and offers discard or choose-another before upload.","components/assessment-intake.tsx","tests/e2e/user-story-behaviors.spec.ts - file choice is inspectable discardable and rejects invalid local files","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-004","Video intake","Educator","Client video validation","As an Educator, I want immediate feedback when the chosen file is unsupported, too large, empty, or too long.","Client inspection rejects non-video types, empty or over-100-MB files, and known durations over five minutes before upload while retaining intake context.","components/assessment-intake.tsx; lib/help-review/video-policy.ts","tests/e2e/user-story-behaviors.spec.ts - invalid local files; screen-18; lib/help-review/video-policy.test.ts","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-005","Video intake","System","Server video validation","As the system, I must reject renamed or corrupted files even when browser metadata claims they are videos.","Server validation enforces MIME allowlist, actual container signature, declared and actual size, duration, checksum, and strict request schemas.","app/api/assessments/[assessmentId]/upload/route.ts; lib/help-review/video-policy.ts","tests/e2e/workflow-contracts.spec.ts - upload validation replacement removal and browser-independent processing work; upload commands enforce all sanitized limits","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-006","Video intake","Educator","Upload progress","As an Educator, I want progress feedback while a selected video is being uploaded.","Upload disables conflicting actions, announces progress in a labeled progress bar, and settles to authoritative uploaded metadata.","components/assessment-intake.tsx","tests/e2e/screen-catalog.spec.ts - screen-03 upload-observation","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-007","Video intake","Educator","Upload network recovery","As an Educator, I want a network interruption to leave the assessment recoverable.","The page reports that the network interrupted upload, does not claim success, and permits retry or replacement without creating a processing run.","components/assessment-intake.tsx","tests/e2e/screen-catalog.spec.ts - screen-19 upload-network-failure","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-008","Video intake","System","Direct resumable GCS upload","As the system, I want browsers to upload video directly to private GCS without exposing durable storage credentials.","The server issues a short-lived origin-bound resumable session; the browser uploads bytes; completion verifies bucket, opaque object, generation, CRC32C, metadata, size, signature, and signed grant.","components/assessment-intake.tsx; app/api/assessments/[assessmentId]/upload/route.ts; lib/help-review/gcs-storage.ts; lib/help-review/upload-grants.ts","lib/help-review/upload-grants.test.ts; lib/help-review/processing-dispatcher.test.ts; live deployment evidence","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-009","Video intake","Educator","Replace selected file","As an Educator, I want to change a not-yet-uploaded file without changing the assessment.","Choose another replaces only the local selection and leaves the saved video and assessment state unchanged until upload succeeds.","components/assessment-intake.tsx","tests/e2e/user-story-behaviors.spec.ts - replacing a selection preserves the verified video until replacement uploads","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-010","Video intake","Educator","Replace uploaded video","As an Educator, I want to replace the uploaded video before processing begins.","A successful replacement stores one new asset, deletes or supersedes the old object, resets the public projection, and keeps no duplicate active video.","components/assessment-intake.tsx; lib/help-review/video-asset-service.ts","tests/e2e/user-story-behaviors.spec.ts - local replacement preserves saved asset; workflow replacement and replay test","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-011","Video intake","Educator","Remove uploaded video","As an Educator, I want to remove an uploaded video before processing.","Remove is disabled during mutations, deletes the active private asset, returns intake to no-video state, and is idempotent when repeated.","components/assessment-intake.tsx; app/api/assessments/[assessmentId]/upload/route.ts; lib/help-review/video-asset-service.ts","tests/e2e/user-story-behaviors.spec.ts - removing video disables processing; workflow removal and replay test","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-012","Video intake","Educator","Save and exit","As an Educator, I want to leave intake after uploading and resume later.","Save and exit returns to the assigned child without starting processing; the uploaded video remains attached to the draft.","components/assessment-intake.tsx; lib/help-review/server-store.ts","tests/e2e/user-story-behaviors.spec.ts - save and exit preserves the verified draft for later return","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-013","Video intake","Educator","Start processing availability","As an Educator, I want Start processing enabled only when one verified uploaded video is ready.","The action remains disabled during upload, while a replacement is selected, or without an uploaded video; a successful command navigates to processing.","components/assessment-intake.tsx; app/api/assessments/[assessmentId]/process/route.ts","tests/e2e/user-story-behaviors.spec.ts - removing video disables processing and verified video starts it; workflow API test","EXISTING","PASS","","","","PASS","2026-07-15"
"UPLOAD-014","Video intake","System","Idempotent processing start","As the system, I must create only one active processing run when Start is clicked or delivered repeatedly.","Concurrent/replayed commands return the same run, dispatch once through the configured adapter, and never duplicate suggestion sets.","lib/help-review/assessment-service.ts; lib/help-review/processing-dispatcher.ts","tests/e2e/workflow-contracts.spec.ts - upload commands enforce all sanitized limits and remain replay-safe","EXISTING","PASS","","","","PASS","2026-07-15"
"PROCESS-001","Processing","Educator","Queued and running progress","As an Educator, I want a stable progress view while analysis is queued or running.","The page presents uploaded, security, analysis, and review-ready steps with one current state and safe attempt metadata.","app/assessments/[assessmentId]/processing/page.tsx","tests/e2e/screen-catalog.spec.ts - screen-04 processing and screen-36 mobile-processing","EXISTING","PASS","","","","PASS","2026-07-15"
"PROCESS-002","Processing","Educator","Automatic status refresh","As an Educator, I want processing status to update while I remain on the page.","The client polls persisted status every 1.5 seconds only while visible and stops once ready or failed.","app/assessments/[assessmentId]/processing/page.tsx","tests/e2e/user-story-behaviors.spec.ts - processing refreshes automatically only while visible","EXISTING","PASS","","","","PASS","2026-07-15"
"PROCESS-003","Processing","Educator","Manual status refresh","As an Educator, I want to refresh status when I suspect the displayed state is stale.","Refresh shows pending feedback, requests authoritative state, updates the timeline, and reports a recoverable load error without discarding the last known state.","app/assessments/[assessmentId]/processing/page.tsx","tests/e2e/user-story-behaviors.spec.ts - processing refreshes automatically and on demand","EXISTING","PASS","","","","PASS","2026-07-15"
"PROCESS-004","Processing","Educator","Browser-independent processing","As an Educator, I want analysis to continue after I close or leave the page.","The persisted run is delivered to the standalone processor and reaches ready or safe failure without browser polling.","lib/help-review/processing-coordinator.ts; lib/help-review/processing-dispatcher.ts; processor/server.ts","tests/e2e/workflow-contracts.spec.ts - upload validation replacement removal and browser-independent processing work","EXISTING","PASS","","","","PASS","2026-07-15"
"PROCESS-005","Processing","Educator","Ready state","As an Educator, I want clear confirmation when validated suggestions are ready.","Ready shows suggestion and independent-review counts, marks all progress steps complete, and offers Start review.","app/assessments/[assessmentId]/processing/page.tsx; lib/help-review/server-workflow.ts","tests/e2e/screen-catalog.spec.ts - screen-22 processing-ready","EXISTING","PASS","","","","PASS","2026-07-15"
"PROCESS-006","Processing","Educator","Safe processing failure","As an Educator, I want a useful failure state without provider internals.","Failure shows an allowlisted title/description, retained-video status, attempt number, replace action, and retry only when eligible.","app/assessments/[assessmentId]/processing/page.tsx; lib/help-review/server-workflow.ts","tests/e2e/screen-catalog.spec.ts - screen-21 processing-failed; lib/help-review/server-workflow.test.ts","EXISTING","PASS","","","","PASS","2026-07-15"
"PROCESS-007","Processing","Educator","Eligible retry","As an Educator, I want to retry a temporary failure using the existing video.","Retry creates one linked new attempt, reports network/request errors without false success, and refreshes to the current run.","app/assessments/[assessmentId]/processing/page.tsx; lib/help-review/assessment-service.ts","tests/e2e/user-story-behaviors.spec.ts - eligible retry creates a new current attempt; service idempotency tests","EXISTING","PASS","","","","PASS","2026-07-15"
"PROCESS-008","Processing","Educator","Ineligible retry","As an Educator, I must not retry terminal, permission-lost, missing-video, reviewed, or superseded work.","Retry is disabled or rejected with a safe current-state explanation and no new run.","app/assessments/[assessmentId]/processing/page.tsx; lib/help-review/assessment-service.ts; lib/help-review/admin-jobs-service.ts","lib/help-review/admin-jobs-service.test.ts; lib/help-review/application-services.test.ts","EXISTING","PASS","","","","PASS","2026-07-15"
"PROCESS-009","Processing","System","Stuck run detection","As support staff, I want old queued/running attempts converted to a safe stuck failure for follow-up.","Runs beyond the 15-minute threshold become FAILED with PROCESSING_STUCK once, preserve the video, and appear in Admin jobs.","lib/help-review/processing-coordinator.ts; lib/help-review/admin-jobs-service.ts","lib/help-review/processing-coordinator.test.ts; lib/help-review/admin-jobs-service.test.ts","EXISTING","PASS","","","","PASS","2026-07-15"
"PROCESS-010","Processing","System","Event delivery idempotency","As the system, I want duplicate Eventarc deliveries to be harmless.","Only valid processing marker names are accepted; generation/event delivery is recorded; already handled or concurrently leased runs do not duplicate results.","processor/server.ts; lib/help-review/processing-coordinator.ts; lib/help-review/processing-dispatcher.ts","processor/server.test.ts; lib/help-review/processing-coordinator.test.ts; lib/help-review/processing-dispatcher.test.ts","EXISTING","PASS","","","","PASS","2026-07-15"
"PROCESS-011","Processing","System","All-or-nothing scoring commit","As the system, I want review to open only after a complete model result passes validation.","Valid suggestions commit atomically; invalid, partial, mismatched, oversized, or unavailable results commit no suggestions and resolve to a safe result state.","lib/help-review/processing-coordinator.ts; lib/help-review/scoring-contract.ts","lib/help-review/processing-coordinator.test.ts; lib/help-review/scoring-contract.test.ts","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-001","Review","Educator","Review projection","As an Educator, I want a minimal review workspace containing the video, validated suggestions, saved decisions, and derived progress.","The server returns only the assigned assessment's public child/video/suggestion/decision projection with a short-lived playback URL and no storage/provider internals.","components/review-workspace.tsx; app/api/assessments/[assessmentId]/review/route.ts; lib/help-review/server-workflow.ts","tests/e2e/workflow-contracts.spec.ts - private playback requires a current viewer grant and supports byte ranges","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-002","Review","Educator","Review loading state","As an Educator, I want stable skeletons while suggestions, decisions, and video access load.","The workspace preserves major dimensions, announces loading, contains no enabled decision controls, and does not shift into a different visual system.","components/review-workspace.tsx","tests/e2e/screen-catalog.spec.ts - screen-44 review-loading","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-003","Review","Educator","Review load recovery","As an Educator, I want to retry a temporary review request failure.","A safe error replaces unknown review data, offers Try again, and restores authoritative saved decisions after recovery.","components/review-workspace.tsx","tests/e2e/user-story-behaviors.spec.ts - review load failure offers an honest retry and restores the workspace","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-004","Review","Educator","Current-state redirect","As an Educator, I want an early or stale review URL to resolve to the correct processing/final state.","A not-ready review redirects to processing; a finalized assessment redirects to final; unauthorized access resolves generically.","components/review-workspace.tsx; app/api/assessments/[assessmentId]/review/route.ts","tests/e2e/user-story-behaviors.spec.ts - review routes resolve not-ready and finalized records; workflow authorization tests","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-005","Review","Educator","No valid results","As an Educator, I must not see partial or invalid model suggestions.","The page explains that validation failed, confirms nothing was applied, and offers children or processing status without rendering a draft list.","components/review-workspace.tsx; lib/help-review/processing-coordinator.ts","tests/e2e/screen-catalog.spec.ts - screen-26 review-no-valid-results; scoring contract tests","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-006","Review","Educator","Suggestion grouping","As an Educator, I want suggestions grouped by draft credit and independent-review need.","Present, Emerging, Not observed, N/A, and Need review groups contain accurate counts and omit empty groups.","components/review-workspace.tsx; lib/help-review/domain.ts","tests/e2e/user-story-behaviors.spec.ts - suggestions remain grouped and evidence disclosures are stateful","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-007","Review","Educator","Select suggestion","As an Educator, I want to select a skill and retain that context across refresh.","Selection updates the editor and allowlisted skill query; hard refresh restores the selected skill and bounded scroll position.","components/review-workspace.tsx; lib/help-review/return-path.ts","tests/e2e/workflow-contracts.spec.ts - review selection and bounded scroll context survive a hard refresh","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-008","Review","Educator","Inspect AI evidence","As an Educator, I want to expand what the AI noticed for a suggestion.","Disclosure toggles aria-expanded and shows only the suggestion's timestamped evidence explanations without changing saved decisions.","components/review-workspace.tsx","tests/e2e/user-story-behaviors.spec.ts - suggestions remain grouped and evidence disclosures are stateful","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-009","Review","Educator","Evidence seeking","As an Educator, I want an evidence timestamp to move the active source video to that moment.","Timestamp controls identify the active evidence, seek the desktop or mobile player, and start playback without changing a decision.","components/review-workspace.tsx","tests/e2e/workflow-contracts.spec.ts - review media renders real pixels and evidence timestamps seek the active video","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-010","Review","Educator","Private video playback","As an authorized Educator, I want to replay the canonical source video while reviewing.","Playback requires a current assessment-bound grant, supports bounded byte ranges, renders real pixels, and denies direct or tampered access.","components/review-workspace.tsx; app/api/assessments/[assessmentId]/video/route.ts; lib/help-review/playback-grants.ts","tests/e2e/workflow-contracts.spec.ts - private playback requires a current viewer grant and supports byte ranges; review media renders real pixels","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-011","Review","Educator","Restore video access","As an Educator whose media grant expired, I want to restore secure playback without losing review work or playback context.","The unavailable panel explains the issue, obtains a new grant, reloads the video, preserves the last known time when possible, and retains unsaved/saved decisions.","components/review-workspace.tsx; app/api/assessments/[assessmentId]/video/grant/route.ts","tests/e2e/user-story-behaviors.spec.ts - restoring video access preserves unsaved review context; screen-24","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-012","Review decision","Educator","Accept draft","As an Educator, I want to accept a model-drafted credit quickly.","Accept draft saves the identical primary credit with server-derived ACCEPTED origin, current revision, optional existing note, and updated progress.","components/review-workspace.tsx; lib/help-review/review-service.ts; lib/help-review/domain.ts","tests/e2e/workflow-contracts.spec.ts - every approved review origin is server-derived and restored after reload","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-013","Review decision","Educator","Override draft","As an Educator, I want to choose a different primary credit when professional judgment differs.","Saving a different valid credit creates an OVERRIDDEN origin; the browser cannot supply or forge the origin.","components/review-workspace.tsx; lib/help-review/review-service.ts; lib/help-review/domain.ts","tests/e2e/workflow-contracts.spec.ts - every approved review origin is server-derived and restored after reload","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-014","Review decision","Educator","Score uncertain suggestion","As an Educator, I want to independently score an item when the model does not draft a credit.","All four primary credits are available; a valid choice saves SCORED_INDEPENDENTLY and updates the item from unactioned.","components/review-workspace.tsx; lib/help-review/domain.ts","tests/e2e/workflow-contracts.spec.ts - every approved review origin is server-derived and restored after reload","EXISTING","PASS","","","","PASS","2026-07-15"
"REVIEW-015","Review decision","Educator","Dismiss suggestion","As an Educator, I want to exclude an irrelevant suggestion without assigning a primary credit.","Dismiss saves finalCredit null, dismissed true, server-derived DISMISSED origin, optional note, and includes it in reconciliation without final scoring totals.","components/review-workspace.tsx; lib/help-review/domain.ts","tests/e2e/workflow-contracts.spec.ts - every approved review origin is server-derived and restored after reload","EXISTING","PASS","","","","PASS","2026-07-15"
